Histórico de proventos,,,,,,,,Proventos por ativo,,,,Proventos por mês,,,,,,Total Reais,Total Dolar*,Média mensal
Data Pagamento,Mês/ano,Corretora,Ativo,Moeda,Valor,Tipo,,Ativo,Soma,Percentual,,Mês/ano,Proventos Reais,Proventos Dolar,Consolidado,% do total,,"R$ 23.007,85",#VALUE!,#VALUE!
20/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,GRND3,Real,"R$ 0,80",Dividendo,,,,,,10/2025,,,,,,,,
25/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WIZC3,Real,"R$ 3,67",Dividendo,,,,,,11/2025,,,,,,,,
29/05/2020,5/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,RADL3,Real,"R$ 0,06",Dividendo,,,,,,12/2025,,,,,,,,
01/06/2020,6/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITUB4,Real,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
10/06/2020,6/2020,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"$0,02",Dividendo,,,,,,,,,,,,,,
12/06/2020,6/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 30,42",Rendimentos,,,,,,,,,,,,,,
15/06/2020,6/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 31,20",Rendimentos,,,,,,,,,,,,,,
15/06/2020,6/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
15/06/2020,6/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 60,30",Rendimentos,,,,,,,,,,,,,,
15/06/2020,6/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CSAN3,Real,"R$ 1,49",Dividendo,,,,,,,,,,,,,,
22/06/2020,6/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,SAPR11,Real,"R$ 6,68",Juros sobre capital próprio,,,,,,,,,,,,,,
22/06/2020,6/2020,"PASSFOLIO SECURITIES, LLC",IVV,Dolar,"$0,47",Dividendo,,,,,,,,,,,,,,
29/06/2020,6/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CPLE6,Real,"R$ 11,53",Juros sobre capital próprio,,,,,,,,,,,,,,
01/07/2020,7/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,00",Dividendo,,,,,,,,,,,,,,
01/07/2020,7/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITUB4,Real,"R$ 0,03",Dividendo,,,,,,,,,,,,,,
01/07/2020,7/2020,"PASSFOLIO SECURITIES, LLC",VNQ,Dolar,"$0,22",Dividendo,,,,,,,,,,,,,,
02/07/2020,7/2020,"PASSFOLIO SECURITIES, LLC",NOBL,Dolar,"$0,70",Dividendo,,,,,,,,,,,,,,
10/07/2020,7/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BOVA11,Real,"R$ 1,17",Aluguel de ações,,,,,,,,,,,,,,
14/07/2020,7/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 30,42",Rendimentos,,,,,,,,,,,,,,
14/07/2020,7/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 31,60",Rendimentos,,,,,,,,,,,,,,
14/07/2020,7/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
14/07/2020,7/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 72,36",Rendimentos,,,,,,,,,,,,,,
07/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,B3SA3,Real,"R$ 1,50",Juros sobre capital próprio,,,,,,,,,,,,,,
12/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 0,52",Juros sobre capital próprio,,,,,,,,,,,,,,
12/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 2,02",Dividendo,,,,,,,,,,,,,,
12/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,WEGE3,Real,"R$ 0,21",Juros sobre capital próprio,,,,,,,,,,,,,,
14/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HFOF11,Real,"R$ 34,22",Rendimentos,,,,,,,,,,,,,,
14/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,BCFF11,Real,"R$ 35,55",Rendimentos,,,,,,,,,,,,,,
14/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,KNRI11,Real,"R$ 26,65",Rendimentos,,,,,,,,,,,,,,
14/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,HGLG11,Real,"R$ 30,42",Rendimentos,,,,,,,,,,,,,,
17/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,IPCA+ Juros,Real,"R$ 52,26",Pgto. Juros,,,,,,,,,,,,,,
19/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,MGLU3,Real,"R$ 0,09",Dividendo,,,,,,,,,,,,,,
21/08/2020,8/2020,EASYNVEST - TÍTULO CORRETORA DE VALORES SA,SMAL11,Real,"R$ 0,20",Aluguel de ações,,,,,,,,,,,,,,
26/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ITSA4,Real,"R$ 2,00",Dividendo,,,,,,,,,,,,,,
28/08/2020,8/2020,INTERMEDIUM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PSSA3,Real,"R$ 0,98",Dividendo,,,,,,,,,,,,,,
09/09/2020,9/2020,"PASSFOLIO SECURITIES, LLC",JNJ,Dolar,"R$ 0,02",Dividendo,,,,,,,,,,,,,,
